Date,CSIQ,CHF,MCPHY.PA,TPIC,OTLY,CRBN.AS,ENPH,RDUS,EKOP.BR,ALCRB.PA,WAGA.PA,BLKB,SK.PA,Gold,SPWR,UMI.BR,LHYFE.PA,DNQA.F,ALWTR.PA,NK.PA,HASI_x,ALDLT.PA,LEONIA.MI,LIGHT.AS,ECV.DE,LBRE.DE,XYL,ERA.PA,HAIN,ZWS,CABKA.AS,BN.PA,AXS.L,TREX,ALHGR.PA,ALESE.PA,FREY,ACOMO.AS,HASI_y
1989-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.612835,,,,,,,
1989-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.612835,,,,,,,
1989-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.612835,,,,,,,
1989-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.312595,,,,,,,
1989-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.258981,,,,,,,
1989-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.108861,,,,,,,
1989-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.108861,,,,,,,
1989-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.108861,,,,,,,
1989-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.108861,,,,,,,
1989-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.527052,,,,,,,
1989-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.419824,,,,,,,
1989-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.237535,,,,,,,
1989-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.21609,,,,,,,
1989-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.237535,,,,,,,
1989-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.205367,,,,,,,
1989-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.044524,,,,,,,
1989-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.001633,,,,,,,
1989-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.023078,,,,,,,
1989-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.969464,,,,,,,
1989-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.023078,,,,,,,
1989-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.787176,,,,,,,
1989-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.701393,,,,,,,
1989-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.433322,,,,,,,
1989-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.647779,,,,,,,
1989-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.594165,,,,,,,
1989-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.594165,,,,,,,
1989-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.76573,,,,,,,
1989-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.712116,,,,,,,
1989-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.712116,,,,,,,
1989-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.218866,,,,,,,
1989-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.090191,,,,,,,
1989-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.090191,,,,,,,
1989-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.090191,,,,,,,
1989-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.647779,,,,,,,
1989-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.862236,,,,,,,
1989-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.894404,,,,,,,
1989-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.658502,,,,,,,
